id,cousineName,idImage
1,Французька кухня,4
2,Італійська кухня,5
3,Мексиканські страви,6
4,Страви індії,7
5,Суші і японська кухня,8
6,Українські страви,9
7,Американські рецепти,10
8,Інше,11
